PROPIEDAD,TIPO DE VEHICULO ,MARCA,NOMBRE,
Linea,MOTOCICLETA,AKT,DYNAMIC 125 AT,
Linea,MOTOCICLETA,AKT,DYNAMIC 125 R AT,
Linea,MOTOCICLETA,AKT,EVO R3 125 MT,
Linea,MOTOCICLETA,AKT,EVO R3 150 MT,
Linea,MOTOCICLETA,AKT,FLEX (LINEA BASE ESTANDAR),
Linea,MOTOCICLETA,AKT,FLEX 125 MT,
Linea,MOTOCICLETA,AKT,FLEX CYCLONE 125 MT,
Linea,MOTOCICLETA,AKT,FLEX ULTRA MT,
Linea,MOTOCICLETA,AKT,JET (LINEA BASE ESTANDAR),
Linea,MOTOCICLETA,AKT,JET 4 AT,
Linea,MOTOCICLETA,AKT,JET 4 X/R AT,
Linea,MOTOCICLETA,AKT,JET 5 R AT,
Linea,MOTOCICLETA,AKT,JL250,
Linea,MOTOCICLETA,AKT,KOMFORT 115 MT,
Linea,MOTOCICLETA,AKT,RTX (LINEA BASE ESTANDAR),
Linea,MOTOCICLETA,AKT,RTX 150 MT,
Linea,MOTOCICLETA,AKT,RTX 150 UNISHOCK MT,
Linea,MOTOCICLETA,AKT,TT 150 MT,
Linea,AUTOMOVIL,ALEKO,2141,
Linea,AUTOMOVIL,ALEKO,2141 1.6 TAXI MT,
Linea,AUTOMOVIL,ALFA ROMEO,155 TD,
Linea,AUTOMOVIL,ALFA ROMEO,159,
Linea,AUTOMOVIL,ALFA ROMEO,159,
Linea,AUTOMOVIL,ALFA ROMEO,159 (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,ALFA ROMEO,159 2.2 JTS Selespeed TP,
Linea,AUTOMOVIL,ALFA ROMEO,33,
Linea,AUTOMOVIL,ALFA ROMEO,ALFETTA,
Linea,AUTOMOVIL,ALFA ROMEO,BRERA,
Linea,AUTOMOVIL,ALFA ROMEO,Giulietta (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,ALFA ROMEO,Giulietta DISTINCTIVE 5P MT,
Linea,AUTOMOVIL,ALFA ROMEO,Giulietta DISTINCTIVE 5P TP,
Linea,AUTOMOVIL,ALFA ROMEO,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,AUTOMOVIL,ALFA ROMEO,MiTo (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,ALFA ROMEO,MiTo DISTINCTIVE 3P MT,
Linea,AUTOMOVIL,ALFA ROMEO,MiTo DISTINCTIVE 3P TP,
Linea,AUTOMOVIL,ALFA ROMEO,MiTo QUADRIFOGLIO 3P MT,
Linea,AUTOMOVIL,ALFA ROMEO,Spider 2.2 JTS Selespeed TP,
Linea,MICROBUS,ALFA ROMEO,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,CUATRIMOTO,AMC,ATV 200,
Linea,MOTOCICLETA,AMC,AMC 150 MT,
Linea,MOTOCICLETA,AMC,DYNAMIC 125 AT,
Linea,MOTOCICLETA,AMC,F5 150 MT,
Linea,MOTOCICLETA,AMC,MERCURIO 125 MT,
Linea,MOTOCICLETA,AMC,WEST 110 MT,
Linea,MOTOCICLETA,AMC,WIND SPEED 200 MT,
Linea,MOTOCICLETA,AMC,WINSPEED,
Linea,CAMIONETA,"AMERICAN
 MOTOR",EAGLE SUMMIT 4P AT,
Linea,CAMIONETA,"AMERICAN
 MOTOR","LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,CAMIONETA,"AMERICAN
 MOTOR",WRANGLER 4.2 MT,
Linea,CUATRIMOTO,AMM,QS 200-1,
Linea,MOTOCARRO,AMPLE,AVA (LINEA BASE ESTANDAR),
Linea,MOTOCARRO,AMPLE,AVA C 797 MT,
Linea,MOTOCARRO,AMPLE,AVA T 797 MT,
Linea,MOTOCICLETA,AMPLE,ARES 125 AT,
Linea,MOTOCICLETA,AMPLE,ASTRO 150 MT,
Linea,MOTOCICLETA,AMPLE,CENTAURUS 150 MT,
Linea,MOTOCICLETA,AMPLE,EROS 125 AT,
Linea,MOTOCICLETA,AMPLE,EROS 150 AT,
Linea,MOTOCICLETA,AMPLE,HADE 50 AT,
Linea,MOTOCICLETA,AMPLE,HADE 80 AT,
Linea,MOTOCICLETA,AMPLE,HEBE 50 AT,
Linea,MOTOCICLETA,AMPLE,HESTIA 125 AT,
Linea,MOTOCICLETA,AMPLE,HESTIA 150 AT,
Linea,MOTOCICLETA,AMPLE,KRONOS 150 AT,
Linea,MOTOCICLETA,AMPLE,KRONOS 250 AT,
